"","DateOnset","Counts"
"1",2020-03-05,1
"2",2020-03-06,1
"3",2020-03-07,1
"4",2020-03-08,3
"5",2020-03-09,3
"6",2020-03-10,0
"7",2020-03-11,1
"8",2020-03-12,0
"9",2020-03-13,1
"10",2020-03-14,0
"11",2020-03-15,2
"12",2020-03-16,0
"13",2020-03-17,0
"14",2020-03-18,0
"15",2020-03-19,0
"16",2020-03-20,0
"17",2020-03-21,1
"18",2020-03-22,0
"19",2020-03-23,1
"20",2020-03-24,1
"21",2020-03-25,0
"22",2020-03-26,1
"23",2020-03-27,0
"24",2020-03-28,0
"25",2020-03-29,0
"26",2020-03-30,1
"27",2020-03-31,0
"28",2020-04-01,1
"29",2020-04-02,0
"30",2020-04-03,1
"31",2020-04-04,1
"32",2020-04-05,2
"33",2020-04-06,0
"34",2020-04-07,6
"35",2020-04-08,1
"36",2020-04-09,4
"37",2020-04-10,1
"38",2020-04-11,0
"39",2020-04-12,1
"40",2020-04-13,3
"41",2020-04-14,0
"42",2020-04-15,0
"43",2020-04-16,0
"44",2020-04-17,0
"45",2020-04-18,0
"46",2020-04-19,0
"47",2020-04-20,0
"48",2020-04-21,0
"49",2020-04-22,1
"50",2020-04-23,0
"51",2020-04-24,0
"52",2020-04-25,1
"53",2020-04-26,13
"54",2020-04-27,24
"55",2020-04-28,4
"56",2020-04-29,0
"57",2020-04-30,0
"58",2020-05-01,0
"59",2020-05-02,0
"60",2020-05-03,2
"61",2020-05-04,1
"62",2020-05-05,36
"63",2020-05-06,14
"64",2020-05-07,3
"65",2020-05-08,18
"66",2020-05-09,5
"67",2020-05-10,0
"68",2020-05-11,15
"69",2020-05-12,1
"70",2020-05-13,2
"71",2020-05-14,0
"72",2020-05-15,0
"73",2020-05-16,0
"74",2020-05-17,0
"75",2020-05-18,2
"76",2020-05-19,0
"77",2020-05-20,1
"78",2020-05-21,0
"79",2020-05-22,0
"80",2020-05-23,0
"81",2020-05-24,0
"82",2020-05-25,0
"83",2020-05-26,0
"84",2020-05-27,3
"85",2020-05-28,0
"86",2020-05-29,0
"87",2020-05-30,0
"88",2020-05-31,0
"89",2020-06-01,1
"90",2020-06-02,2
"91",2020-06-03,22
"92",2020-06-04,1
"93",2020-06-05,2
"94",2020-06-06,5
"95",2020-06-07,0
"96",2020-06-08,6
"97",2020-06-09,3
"98",2020-06-10,1
"99",2020-06-11,0
"100",2020-06-12,2
"101",2020-06-13,2
"102",2020-06-14,2
"103",2020-06-15,5
"104",2020-06-16,2
"105",2020-06-17,4
"106",2020-06-18,4
"107",2020-06-19,3
"108",2020-06-20,9
"109",2020-06-21,3
"110",2020-06-22,13
"111",2020-06-23,20
"112",2020-06-24,5
"113",2020-06-25,4
"114",2020-06-26,2
"115",2020-06-27,5
"116",2020-06-28,18
"117",2020-06-29,9
"118",2020-06-30,9
"119",2020-07-01,21
"120",2020-07-02,26
"121",2020-07-03,11
"122",2020-07-04,5
"123",2020-07-05,17
"124",2020-07-06,15
"125",2020-07-07,16
"126",2020-07-08,23
"127",2020-07-09,14
"128",2020-07-10,27
"129",2020-07-11,23
"130",2020-07-12,20
"131",2020-07-13,9
"132",2020-07-14,18
"133",2020-07-15,15
"134",2020-07-16,14
"135",2020-07-17,35
"136",2020-07-18,30
"137",2020-07-19,28
"138",2020-07-20,7
"139",2020-07-21,8
"140",2020-07-22,12
"141",2020-07-23,11
"142",2020-07-24,10
"143",2020-07-25,15
"144",2020-07-26,10
"145",2020-07-27,27
"146",2020-07-28,27
"147",2020-07-29,15
"148",2020-07-30,22
"149",2020-07-31,11
"150",2020-08-01,49
"151",2020-08-02,16
"152",2020-08-03,22
"153",2020-08-04,31
"154",2020-08-05,24
"155",2020-08-06,22
"156",2020-08-07,17
"157",2020-08-08,36
"158",2020-08-09,23
"159",2020-08-10,39
"160",2020-08-11,29
"161",2020-08-12,25
"162",2020-08-13,38
"163",2020-08-14,18
"164",2020-08-15,15
"165",2020-08-16,22
"166",2020-08-17,11
"167",2020-08-18,28
"168",2020-08-19,18
"169",2020-08-20,26
"170",2020-08-21,23
"171",2020-08-22,21
"172",2020-08-23,17
"173",2020-08-24,34
"174",2020-08-25,33
"175",2020-08-26,42
"176",2020-08-27,16
"177",2020-08-28,15
"178",2020-08-29,40
"179",2020-08-30,19
"180",2020-08-31,31
"181",2020-09-01,29
"182",2020-09-02,23
"183",2020-09-03,17
"184",2020-09-04,27
"185",2020-09-05,23
"186",2020-09-06,18
"187",2020-09-07,29
"188",2020-09-08,22
"189",2020-09-09,30
"190",2020-09-10,16
"191",2020-09-11,17
"192",2020-09-12,31
"193",2020-09-13,21
"194",2020-09-14,29
"195",2020-09-15,30
"196",2020-09-16,17
"197",2020-09-17,31
"198",2020-09-18,20
"199",2020-09-19,24
"200",2020-09-20,28
"201",2020-09-21,39
"202",2020-09-22,32
"203",2020-09-23,42
"204",2020-09-24,23
"205",2020-09-25,24
"206",2020-09-26,29
"207",2020-09-27,53
"208",2020-09-28,44
"209",2020-09-29,34
"210",2020-09-30,30
"211",2020-10-01,57
"212",2020-10-02,49
"213",2020-10-03,76
"214",2020-10-04,45
"215",2020-10-05,68
"216",2020-10-06,67
"217",2020-10-07,55
"218",2020-10-08,53
"219",2020-10-09,76
"220",2020-10-10,65
"221",2020-10-11,55
"222",2020-10-12,52
"223",2020-10-13,62
"224",2020-10-14,39
"225",2020-10-15,64
"226",2020-10-16,37
"227",2020-10-17,55
"228",2020-10-18,46
"229",2020-10-19,63
"230",2020-10-20,65
"231",2020-10-21,36
"232",2020-10-22,42
"233",2020-10-23,38
"234",2020-10-24,75
"235",2020-10-25,65
"236",2020-10-26,55
"237",2020-10-27,50
"238",2020-10-28,38
"239",2020-10-29,45
"240",2020-10-30,22
"241",2020-10-31,46
"242",2020-11-01,89
"243",2020-11-02,31
"244",2020-11-03,30
"245",2020-11-04,49
"246",2020-11-05,14
"247",2020-11-06,11
"248",2020-11-07,15
"249",2020-11-08,3
"250",2020-11-09,1
