"","DateOnset_imputed","Count"
"1",2020-06-15,1
"2",2020-06-16,1
"3",2020-06-17,1
"4",2020-06-18,0
"5",2020-06-19,0
"6",2020-06-20,3
"7",2020-06-21,2
"8",2020-06-22,9
"9",2020-06-23,17
"10",2020-06-24,2
"11",2020-06-25,1
"12",2020-06-26,0
"13",2020-06-27,2
"14",2020-06-28,12
"15",2020-06-29,3
"16",2020-06-30,4
"17",2020-07-01,13
"18",2020-07-02,24
"19",2020-07-03,11
"20",2020-07-04,2
"21",2020-07-05,4
"22",2020-07-06,9
"23",2020-07-07,7
"24",2020-07-08,20
"25",2020-07-09,12
"26",2020-07-10,26
"27",2020-07-11,23
"28",2020-07-12,19
"29",2020-07-13,8
"30",2020-07-14,13
"31",2020-07-15,12
"32",2020-07-16,10
"33",2020-07-17,34
"34",2020-07-18,28
"35",2020-07-19,26
"36",2020-07-20,6
"37",2020-07-21,6
"38",2020-07-22,8
"39",2020-07-23,9
"40",2020-07-24,8
"41",2020-07-25,15
"42",2020-07-26,8
"43",2020-07-27,22
"44",2020-07-28,18
"45",2020-07-29,14
"46",2020-07-30,13
"47",2020-07-31,7
"48",2020-08-01,21
"49",2020-08-02,12
"50",2020-08-03,16
"51",2020-08-04,27
"52",2020-08-05,20
"53",2020-08-06,17
"54",2020-08-07,16
"55",2020-08-08,34
"56",2020-08-09,22
"57",2020-08-10,32
"58",2020-08-11,29
"59",2020-08-12,22
"60",2020-08-13,22
"61",2020-08-14,17
"62",2020-08-15,14
"63",2020-08-16,20
"64",2020-08-17,10
"65",2020-08-18,19
"66",2020-08-19,13
"67",2020-08-20,24
"68",2020-08-21,22
"69",2020-08-22,16
"70",2020-08-23,16
"71",2020-08-24,31
"72",2020-08-25,31
"73",2020-08-26,40
"74",2020-08-27,14
"75",2020-08-28,13
"76",2020-08-29,36
"77",2020-08-30,15
"78",2020-08-31,25
"79",2020-09-01,27
"80",2020-09-02,19
"81",2020-09-03,15
"82",2020-09-04,23
"83",2020-09-05,22
"84",2020-09-06,17
"85",2020-09-07,21
"86",2020-09-08,18
"87",2020-09-09,28
"88",2020-09-10,16
"89",2020-09-11,16
"90",2020-09-12,21
"91",2020-09-13,16
"92",2020-09-14,28
"93",2020-09-15,28
"94",2020-09-16,12
"95",2020-09-17,26
"96",2020-09-18,16
"97",2020-09-19,22
"98",2020-09-20,26
"99",2020-09-21,33
"100",2020-09-22,29
"101",2020-09-23,39
"102",2020-09-24,17
"103",2020-09-25,18
"104",2020-09-26,23
"105",2020-09-27,40
"106",2020-09-28,34
"107",2020-09-29,25
"108",2020-09-30,22
"109",2020-10-01,45
"110",2020-10-02,43
"111",2020-10-03,67
"112",2020-10-04,41
"113",2020-10-05,58
"114",2020-10-06,46
"115",2020-10-07,35
"116",2020-10-08,39
"117",2020-10-09,62
"118",2020-10-10,44
"119",2020-10-11,34
"120",2020-10-12,40
"121",2020-10-13,40
"122",2020-10-14,27
"123",2020-10-15,30
"124",2020-10-16,34
"125",2020-10-17,35
"126",2020-10-18,25
"127",2020-10-19,34
"128",2020-10-20,35
"129",2020-10-21,26
"130",2020-10-22,30
"131",2020-10-23,18
"132",2020-10-24,62
"133",2020-10-25,38
